,BRANCH,CIRCULATION_2019,COMPUTER SESSIONS_2019,VISITORS_2019,AVG COMPUTER SESSIONS PER VISITOR_2019,AVG CIRCULATION PER VISITOR_2019,CIRCULATION_2021,COMPUTER SESSIONS_2021,VISITORS_2021,AVG COMPUTER SESSIONS PER VISITOR_2021,AVG CIRCULATION PER VISITOR_2021,AVG WALKING TIME (MIN)
28,Hall,16185.0,14922.0,67884.0,0.21981615697366094,0.23842142478345413,6163.0,5562.0,23328.0,0.23842592592592593,0.2641889574759945,14.265404275290594
29,Harold Washington Library Center,581151.0,209583.0,1405964.0,0.14906711693898278,0.4133469989274263,271811.0,69312.0,543951.0,0.12742324216703343,0.499697583054356,13.06269423005517
30,Hegewisch,19052.0,7114.0,38747.0,0.18360131106924407,0.49170258342581363,11515.0,3323.0,16972.0,0.19579307094037238,0.6784704218713175,18.346039789696786
31,Humboldt Park,56569.0,14942.0,78546.0,0.19023247523744047,0.7202021745219362,36649.0,7233.0,34092.0,0.21216121084125308,1.0750029332394697,11.472524705579383
32,Independence,88455.0,11513.0,75052.0,0.1534003091190108,1.1785828492245376,69547.0,7059.0,33031.0,0.21370833459477462,2.1055069480185282,15.115433495728432
33,Jefferson Park,9061.0,1682.0,6108.0,0.27537655533726263,1.483464309102816,55453.0,8179.0,46942.0,0.17423629159388182,1.1813088492181842,15.064436763613257
34,Jeffery Manor,8774.0,12627.0,57482.0,0.21966876587453463,0.15263908701854492,3205.0,4283.0,14627.0,0.292814657824571,0.2191153346550899,16.31085497607897
35,Kelly,11116.0,13220.0,65347.0,0.20230461995194882,0.17010727347850704,4334.0,5784.0,9396.0,0.6155810983397191,0.461260110685398,16.624483277987082
36,King,21311.0,19188.0,35190.0,0.5452685421994885,0.6055981813015061,12704.0,9428.0,17385.0,0.5423065861374748,0.7307448950244464,14.355220651085364
37,Legler Regional,8493.0,21796.0,72027.0,0.3026087439432435,0.11791411554000583,5226.0,7851.0,15091.0,0.520243853952687,0.34629911868000796,14.875196345390505
38,Lincoln Belmont,168646.0,12445.0,156188.0,0.07967961687197479,1.0797628498988399,129149.0,6391.0,67167.0,0.09515089255140173,1.9228043533282713,12.484410682160556
39,Lincoln Park,133337.0,12859.0,137424.0,0.09357171964140179,0.9702599254860869,114599.0,7015.0,75874.0,0.09245591375174632,1.5103856393494477,12.980014852296918
40,Little Italy,61193.0,13579.0,118051.0,0.11502655631887913,0.5183607085073401,47793.0,6112.0,48093.0,0.12708710207306675,0.9937620859584555,9.877276063668488
41,Little Village,39280.0,22362.0,80689.0,0.2771381477029087,0.48680737151284564,15767.0,7035.0,16571.0,0.424536841470038,0.9514815038319957,13.390022009607868
42,Logan Square,131945.0,20522.0,150530.0,0.1363316282468611,0.8765362386235301,105294.0,11483.0,92688.0,0.12388874503711375,1.1360046607975143,15.87498327225983
43,Lozano,42111.0,22750.0,123368.0,0.18440762596459373,0.34134459503274756,25108.0,9937.0,55729.0,0.17830931830824168,0.45053742216799153,13.037864890306984
44,Manning,22218.0,20940.0,84158.0,0.24881770004040019,0.2640034221345564,1868.0,1242.0,9836.0,0.12627084180561204,0.18991459943066288,14.57039899189665
45,Mayfair,46902.0,8712.0,47147.0,0.1847837614270261,0.994803486966297,29232.0,3779.0,21794.0,0.1733963476186106,1.3412865926401762,13.1401486910568
46,McKinley Park,57882.0,10673.0,99246.0,0.10754085806984665,0.5832174596457288,32919.0,4520.0,43135.0,0.10478729569954794,0.763162165295004,14.412316883777867
47,Merlo,14636.0,1919.0,19633.0,0.0977435949676565,0.7454795497376866,96136.0,8866.0,86207.0,0.1028454765854281,1.115176261788486,11.838437658440144
48,Mount Greenwood,57050.0,9366.0,51275.0,0.18266211604095564,1.1126279863481228,39068.0,4412.0,18372.0,0.24014805138253864,2.12649684302199,17.154811117386153
49,Near North,102226.0,16813.0,130156.0,0.1291757583207843,0.7854113525308092,87488.0,7677.0,75732.0,0.10137062272223102,1.15523160619025,12.825447218757596
50,North Austin,12466.0,16971.0,41957.0,0.40448554472436066,0.2971137116571728,6584.0,5692.0,16817.0,0.3384670274127371,0.39150859249568887,14.73895442286473
51,North Pulaski,27230.0,12519.0,47718.0,0.26235382874387025,0.5706442013495956,11211.0,4596.0,24593.0,0.18688244622453543,0.455861423982434,15.229869734136685
52,Northtown,106790.0,21755.0,104233.0,0.2087150902305412,1.0245315782909443,110226.0,14793.0,89529.0,0.16523137754247227,1.2311764902992326,15.640333616718111
53,Oriole Park,65208.0,7202.0,81829.0,0.08801280719549304,0.796881301250168,56191.0,5912.0,49780.0,0.1187625552430695,1.128786661309763,17.112081512831846
54,Portage-Cragin,52633.0,11994.0,54801.0,0.21886461925877265,0.9604386781263116,41154.0,9558.0,34976.0,0.2732731015553522,1.176635407136322,16.549424874497326
55,Pullman,12506.0,15090.0,49370.0,0.30565120518533523,0.25331172776990074,3952.0,6442.0,25026.0,0.25741229121713416,0.15791576760169423,15.407911762862636
56,Roden,72925.0,7840.0,70882.0,0.11060635986569228,1.0288225501537767,49569.0,3651.0,39766.0,0.09181210078961927,1.2465171251823166,18.666054663695967
57,Rogers Park,112965.0,35512.0,152062.0,0.23353632071128883,0.742887769462456,74911.0,12227.0,75695.0,0.16152982363432195,0.9896426448246252,14.635677595971458
