YEAR,BRANCH,MONTH,CIRCULATION,COMPUTER_SESSIONS,VISITORS
2013,Hegewisch,78,36109.0,8880.0,57800.0
2013,Humboldt Park,77,67924.0,35899.0,76747.0
2013,Independence,78,111576.0,22914.0,77028.0
2013,Jefferson Park,78,101269.0,20912.0,109663.0
2013,Jeffery Manor,78,15343.0,22653.0,71388.0
2013,Kelly,78,15927.0,19190.0,62671.0
2013,King,78,39416.0,32106.0,83527.0
2013,Legler Regional,78,19211.0,39630.0,99843.0
2013,Lincoln Belmont,78,175304.0,27313.0,160834.0
2013,Lincoln Park,78,121675.0,29540.0,128190.0
2013,Little Village,78,105316.0,56176.0,155070.0
2013,Logan Square,78,141476.0,36885.0,157496.0
2013,Lozano,78,74556.0,56025.0,177691.0
2013,Manning,78,32941.0,28966.0,98194.0
2013,Mayfair,78,78316.0,18521.0,73445.0
2013,McKinley Park,78,91012.0,23288.0,110391.0
2013,Merlo,78,106150.0,21655.0,105628.0
2013,Mount Greenwood,78,83611.0,12076.0,89365.0
2013,Near North,78,136669.0,28821.0,152057.0
2013,North Austin,78,25542.0,29248.0,69749.0
2013,North Pulaski,78,55332.0,18105.0,72508.0
2013,Northtown,78,135506.0,33628.0,149861.0
2013,Oriole Park,78,101827.0,12828.0,108232.0
2013,Portage-Cragin,78,99876.0,20570.0,93646.0
2013,Pullman,78,23411.0,25847.0,73518.0
2013,Roden,78,75176.0,8899.0,85272.0
2013,Rogers Park,78,155304.0,51962.0,199262.0
2013,Roosevelt,78,78582.0,22036.0,108388.0
2013,Scottsdale,78,45859.0,18607.0,74019.0
2013,Sherman Park,78,18023.0,30542.0,77392.0
2013,South Chicago,78,47291.0,35476.0,106912.0
2013,South Shore,72,38999.0,32282.0,92988.0
2013,Sulzer Regional,78,556898.0,138425.0,538548.0
2013,Thurgood Marshall,78,39252.0,47592.0,123092.0
2013,Toman,78,105097.0,45215.0,94826.0
2013,Uptown,78,94280.0,31218.0,148527.0
2013,Vodak-East Side,78,62382.0,33032.0,93044.0
2013,Walker,78,38898.0,11500.0,61259.0
2013,West Belmont,78,108176.0,20333.0,110832.0
2013,West Chicago Avenue,78,25076.0,34940.0,167398.0
2013,West Englewood,78,22947.0,39894.0,145214.0
2013,West Lawn,78,79704.0,18829.0,99552.0
2013,West Pullman,78,35415.0,34440.0,87157.0
2013,West Town,78,106199.0,43686.0,141413.0
2013,"Whitney M. Young, Jr.",78,36869.0,44268.0,107966.0
2013,Woodson Regional,78,106316.0,158952.0,411538.0
2013,Wrightwood-Ashburn,78,38359.0,17848.0,75981.0
2014,Albany Park,42,50260.0,9546.0,53058.0
2014,Altgeld,78,8509.0,31304.0,61270.0
2014,Archer Heights,78,85217.0,24949.0,107148.0
2014,Austin,78,23394.0,25304.0,82548.0
2014,Austin-Irving,78,128656.0,21509.0,114332.0
2014,Avalon,78,56819.0,44261.0,121867.0
2014,Back of the Yards,78,53777.0,26871.0,64753.0
2014,Beverly,78,67760.0,30485.0,102260.0
2014,Bezazian,78,133194.0,36754.0,145775.0
