lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
North Austin,60918.0,29345.0,31573.0,3733.0,46397.0,7203.0,16210.0,27092.0,119.0,1237.0,43.0,10537.0,5680.0,26131.0,23517.0,20451.0,60203.0,19349.0,15666.0,8003.0,48716.0,12202.0,33939.0,10259.0,20451.0,18572.0,16506.0,1517.0,5073.0,5323.0,20451.0,8518.0,4236.0,2222.0,628.0,35.6375,33.9875,2.9675,3.680625,10.31875,53244.53333333333,71335.6875,25634.125,21.2375,25.025,1952.375,771.0,1127.5,0.481713122558193,0.518286877441807
North Pulaski,88074.0,43109.0,44965.0,5271.0,65637.0,8400.0,33765.0,19315.0,317.0,2450.0,25.0,20940.0,11262.0,53042.0,31999.0,28680.0,87282.0,29189.0,23817.0,13305.0,65424.0,22650.0,36891.0,20168.0,28680.0,26200.0,23431.0,2866.0,6139.0,7204.0,28680.0,11665.0,5770.0,2998.0,631.0,35.3,34.584,3.0012,3.7783999999999995,9.26,56514.375,72775.08,25887.56,19.224,22.616,1996.12,739.5909090909091,1117.0,0.48946340577241865,0.5105365942275814
Northtown,54988.0,28220.0,26768.0,4425.0,40682.0,7318.0,27735.0,8617.0,86.0,9645.0,2.0,4337.0,4566.0,11007.0,21752.0,19761.0,54024.0,18485.0,14396.0,17143.0,34844.0,20144.0,25746.0,11279.0,19761.0,18532.0,16914.0,2421.0,4732.0,3391.0,19761.0,9555.0,3815.0,1727.0,606.0,36.89,33.93,2.754,3.4850000000000003,6.43,63647.0,87569.7,32061.6,13.569999999999999,17.71,1969.2,789.4444444444445,1234.7,0.5132028806285007,0.4867971193714992
Oriole Park,51496.0,25896.0,25600.0,3460.0,40701.0,8726.0,40435.0,1196.0,111.0,4881.0,0.0,1926.0,2947.0,7042.0,21736.0,20821.0,51446.0,14877.0,10656.0,16279.0,35315.0,16181.0,27373.0,8584.0,20821.0,19198.0,18131.0,2209.0,5398.0,1135.0,20821.0,14928.0,1195.0,2080.0,889.0,42.11818181818182,28.345454545454547,2.4918181818181817,3.1036363636363635,4.736363636363636,91418.0,106153.09090909091,43574.454545454544,5.845454545454545,8.090909090909092,2041.5454545454545,780.8181818181819,1224.2,0.502874009631816,0.49712599036818395
Popular Library at Water Works,65336.0,31579.0,33757.0,1823.0,60859.0,11023.0,46153.0,4579.0,83.0,10325.0,0.0,1287.0,2909.0,4362.0,49456.0,40739.0,63032.0,5404.0,10938.0,45069.0,51716.0,13620.0,48989.0,3033.0,40739.0,39722.0,36859.0,7475.0,7084.0,1643.0,40739.0,15665.0,19944.0,2713.0,1638.0,39.107142857142854,9.364285714285714,1.6649999999999998,2.5557142857142856,3.8642857142857143,111193.64285714286,175826.85714285713,107618.42857142857,6.221428571428571,11.464285714285714,3226.3571428571427,1420.5384615384614,1919.0714285714287,0.48333231296681767,0.5166676870331823
Portage-Cragin,89872.0,43855.0,46017.0,5549.0,69313.0,9932.0,46415.0,2749.0,621.0,3835.0,22.0,24121.0,12109.0,58468.0,32622.0,29718.0,89745.0,27631.0,22134.0,16366.0,58858.0,31014.0,27093.0,25756.0,29718.0,27499.0,24731.0,3521.0,6977.0,4496.0,29718.0,15352.0,3903.0,2650.0,901.0,35.71363636363637,33.92727272727273,3.0131818181818186,3.6827272727272726,5.0227272727272725,69000.95454545454,86320.04545454546,30301.954545454544,10.631818181818183,13.604545454545455,2148.7272727272725,787.5909090909091,1169.8636363636363,0.4879717820900837,0.5120282179099164
Pullman,46467.0,21524.0,24943.0,2481.0,35954.0,7346.0,6675.0,34470.0,217.0,100.0,0.0,3345.0,1660.0,9773.0,20893.0,16688.0,46058.0,16433.0,11579.0,6873.0,42862.0,3605.0,35768.0,2895.0,16688.0,14544.0,13160.0,1374.0,5378.0,5380.0,16688.0,9250.0,4013.0,1552.0,679.0,39.03888888888889,31.444444444444443,2.7305555555555556,3.5116666666666667,16.11111111111111,48588.5,60724.444444444445,23671.555555555555,17.294444444444444,21.016666666666666,1350.1666666666667,567.5,1070.2941176470588,0.4632104504271849,0.5367895495728151
Roden,47631.0,23544.0,24087.0,3393.0,37657.0,7635.0,37466.0,1341.0,70.0,3671.0,0.0,2254.0,2829.0,7513.0,20684.0,19526.0,47146.0,14089.0,10211.0,16130.0,35308.0,12323.0,28046.0,6689.0,19526.0,17658.0,16557.0,2269.0,4582.0,1251.0,19526.0,12161.0,1828.0,1493.0,615.0,39.44444444444444,28.87777777777778,2.48,3.11,4.222222222222222,92860.55555555556,114801.88888888889,46808.88888888889,6.333333333333333,8.088888888888889,2193.222222222222,833.4444444444445,1232.6666666666667,0.4942999307173899,0.50570006928261
Rogers Park,53537.0,26404.0,27133.0,3700.0,43316.0,5365.0,24353.0,15328.0,254.0,3661.0,7.0,5387.0,4547.0,11448.0,26394.0,23654.0,51262.0,13237.0,13251.0,17177.0,37287.0,16250.0,30318.0,8426.0,23654.0,22335.0,20256.0,3722.0,3578.0,3975.0,23654.0,7096.0,8644.0,1114.0,298.0,36.836363636363636,20.963636363636365,2.1863636363636365,3.2018181818181817,5.29090909090909,52730.09090909091,70715.27272727272,33020.818181818184,14.854545454545455,19.70909090909091,1750.6363636363637,772.1818181818181,1131.2727272727273,0.4931916244840017,0.5068083755159983
Scottsdale,57929.0,29643.0,28286.0,2858.0,42687.0,6408.0,20534.0,15066.0,760.0,391.0,0.0,14398.0,6780.0,34565.0,18392.0,17521.0,57907.0,21742.0,16790.0,5525.0,44037.0,13892.0,24901.0,10685.0,17521.0,15998.0,14909.0,854.0,5048.0,2949.0,17521.0,13986.0,1729.0,2652.0,705.0,35.43636363636364,42.22727272727273,3.2927272727272725,3.8936363636363636,9.854545454545455,67548.81818181818,78030.81818181818,24992.272727272728,11.890909090909092,14.563636363636363,1618.8181818181818,570.6363636363636,1293.5454545454545,0.5117126137167912,0.4882873862832088
