,lib_name,total_population,total_male,total_female,under_5_years,over_18_years,over_65_years,white,black,native,asian,islander,other_race,more_one_race,latino,housing_units_dp5,num_households_dp2,pop_in_households,pop_in_households_child,pop_enrolled,college_graduates,tot_pop_birth_native,tot_pop_birth_foreign,speaks_english_only,speaks_english_less_very_well,comp_tot_households,comp_tot_households_pc,comp_tot_households_internet,work_from_home,hh_social_security,hh_foodstamps_snap,occupied_units,occupied_units_owner,occupied_units_no_vehicle,rent_burdened_unit_mortgage,rent_burdened_unit_no_mortgage,median_age,perc_hh_w_children,avg_household_size,avg_family_size,unemployment_rate,median_hh_income_d,average_hh_income_d,per_capita_income_d,perc_fam_bellow_poverty,perc_ppl_bellow_poverty,median_owner_cost_unit_mortgage_d,median_owner_cost_unit_no_mortgage_d,occupied_median_rent_d,share_men,share_women
70,Walker,28333,13493,14840,1343,22100,5007,10674,15862,58,225,0,246,1268,1287,11880,10886,27900,9232,7083,8420,27409,924,25508,254,10886,9911,9308,1583,3272,1448,10886,7784,1141,1104,399,43.077777777777776,27.700000000000003,2.591111111111111,3.336666666666667,8.144444444444444,83917.44444444444,105829.22222222222,42084.555555555555,6.655555555555555,8.644444444444444,1876.7777777777778,701.0,1228.3333333333333,0.47622913210743656,0.5237708678925634
71,West Belmont,36063,17527,18536,2153,28236,4151,20933,1715,172,1281,0,8845,3117,20054,12636,11653,35701,10999,8990,5457,23545,12518,11973,9075,11653,10406,9577,1171,2945,1396,11653,8208,877,1959,443,37.17142857142857,35.58571428571429,3.1914285714285713,3.6214285714285714,6.271428571428571,69995.28571428571,89454.71428571429,30060.714285714286,10.714285714285714,11.700000000000001,2014.857142857143,702.7142857142857,1113.0,0.48601059257410645,0.5139894074258936
72,West Chicago Avenue,22663,10229,12434,1571,16773,3290,2792,14918,259,174,0,2310,2210,7543,7756,7059,22606,7507,5938,1496,20029,2634,15368,2609,7059,6079,5476,552,2459,2647,7059,3190,1886,818,38,35.93333333333333,38.699999999999996,3.198333333333333,3.9633333333333334,9.566666666666668,38639.833333333336,54987.833333333336,18712.166666666668,22.816666666666666,22.95,1626.0,676.3333333333334,1121.6666666666667,0.4513524246569298,0.5486475753430702
73,West Englewood,18138,8447,9691,1077,14435,4057,913,15710,136,20,0,969,390,2007,9579,7239,17999,5618,3303,1043,17096,1042,15350,901,7239,5544,4741,320,3395,3310,7239,3098,2815,698,457,43.23846153846154,26.73846153846154,2.5684615384615386,3.6453846153846152,24.715384615384615,25676.46153846154,39487.153846153844,16832.153846153848,32.723076923076924,35.40769230769231,1255.1818181818182,530.6153846153846,965.6923076923077,0.465707354724887,0.534292645275113
74,West Lawn,51263,26730,24533,4068,36841,6446,25504,1197,978,464,92,15144,7884,43187,16373,15451,51228,19515,13563,4849,34516,16747,10531,15056,15451,12999,12527,801,5081,2550,15451,10493,2172,1975,526,33.23636363636364,41.49090909090909,3.27,4.04,10.454545454545455,54695.36363636364,72743.54545454546,23535.727272727272,12.281818181818181,14.263636363636364,1611.909090909091,602.0909090909091,1001.0909090909091,0.5214287107660496,0.4785712892339504
75,West Loop,13095,6896,6199,885,11389,496,9130,846,0,2368,0,209,542,694,7707,7104,12846,1853,1893,9228,11639,1456,10292,580,7104,7002,6351,1936,302,190,7104,3638,1487,635,54,33.15,14.850000000000001,1.82,2.7,5.15,154031.5,190276.5,104174.0,1.3,7.25,3351.0,1152.0,2531.5,0.5266132111492936,0.4733867888507064
76,West Pullman,30756,14550,16206,1829,23447,5384,627,28666,48,0,0,496,919,1115,12495,10292,30488,10072,6988,3794,30071,685,27969,171,10292,9174,8303,490,3755,3001,10292,6642,1747,1209,318,39.075,30.325,2.94625,3.855,18.4375,54319.25,67821.25,24601.875,16.6,19.925,1362.625,598.125,1242.5,0.47307842372220055,0.5269215762777995
77,West Town,46816,23684,23132,2907,41546,2386,34941,2997,60,2818,50,2049,3901,7731,24235,22263,46570,6670,6414,29375,41438,5378,35028,2597,22263,21654,20876,6776,2058,1137,22263,9538,4195,1556,272,33.28666666666667,15.566666666666666,2.106,2.808666666666667,3.3733333333333335,125791.0,155798.2,75364.2,4.326666666666667,7.093333333333334,3071.4,1233.4,1829.6666666666667,0.5058954203691046,0.49410457963089544
78,"Whitney M. Young, Jr.",47000,20592,26408,2902,36700,8107,522,45171,0,64,1,189,1053,663,25667,21143,46903,15204,10324,8987,46167,833,42943,160,21143,18617,15502,2026,6423,7628,21143,8498,6820,1628,633,41.32666666666667,26.12,2.27,3.3826666666666667,16.853333333333335,41708.73333333333,56974.46666666667,26319.466666666667,23.046666666666667,24.833333333333332,1639.9285714285713,637.6,967.9333333333333,0.4381276595744681,0.5618723404255319
79,Woodson Regional Library,33390,14809,18581,2064,25724,6214,576,32020,33,0,0,136,625,320,13229,11543,33164,11729,7989,5465,33051,339,30672,102,11543,10463,9629,1153,4413,3479,11543,7802,1947,1161,396,41.36363636363637,32.18181818181818,2.8963636363636365,3.6772727272727277,16.681818181818183,53896.545454545456,66301.63636363637,24351.727272727272,15.336363636363636,17.59090909090909,1421.8181818181818,595.5454545454545,1273.6,0.4435160227613058,0.5564839772386942
80,Wrightwood-Ashburn,13875,6235,7640,719,11182,2646,1970,10721,0,145,0,740,299,1988,5027,4878,13385,4274,3159,2595,12860,1015,11375,753,4878,4586,4220,629,1635,774,4878,4005,433,736,158,42.1,30.53333333333333,2.8233333333333337,3.5533333333333332,12.433333333333332,73058.33333333333,80684.0,29350.333333333332,8.933333333333334,13.033333333333333,1658.6666666666667,588.3333333333334,1525.6666666666667,0.4493693693693694,0.5506306306306307
