Branch,Avg Cycling White,Avg Cycling Black or African American,Avg Cycling: High School or More,Avg Cycling: Bachelors or More,Avg Cycling: Masters or More,Avg Cycling At or Above Poverty,Avg Cycling In Poverty,"Avg Cycling Income: $150,000 to $199,999",Avg Cycling Employed,Avg Cycling Unemployed,Avg Cycling Has Internet Access,Avg Cycling Has No Internet Access
Brainerd,5.16414137612685,4.455753195712759,4.521943031108838,4.7461982064535135,4.895107731131307,4.572938288340642,4.358779278728124,5.482569795672466,4.564181054188711,4.423919137079194,4.547277839242034,4.494259305375284
Brighton Park,4.419040505893337,5.269312747366456,4.327614190153859,4.184702209760856,4.023145186574051,4.378625610163683,4.144821445357216,4.7119967787173,4.319838365384001,4.493719382612865,4.426263720371833,3.878563027196442
Bucktown-Wicker Park,3.72154762308734,3.791775753133853,3.7316234125383865,3.686487397345789,3.707118752803916,3.7277577329128775,3.86320896217504,3.570365352753727,3.7346933686713726,3.804926535799542,4.051408301059108,3.988866873118713
Budlong Woods,4.153488867174745,3.501399329834555,3.998351278826089,4.087573863104239,4.174620376939636,4.035262937708882,3.864733556063568,4.359638003811448,4.027537780498428,3.8326204682225926,3.9966106951949367,4.155393930233289
Canaryville,4.0020995682919605,4.395065139778104,4.106226707628673,4.159787148016524,4.253075946948837,4.113638022132349,4.234447500642784,4.191838240857192,4.140450854550257,4.086141490199164,4.139772072024459,4.105874136918376
Chicago Bee,3.773027022787344,3.5702426157051,3.618729692763355,3.72392366886836,3.8658489140167935,3.7338309913879,3.60393612653477,3.568128005590452,3.685847597439068,3.696726562015325,3.621219875874202,3.7411819110041247
Chicago Lawn,4.105379925148736,6.17400831072558,4.915645411759706,4.816379573982362,5.511874682332443,4.74666388288909,4.755989921463161,5.068654191998596,4.804602094285409,4.4706520178203135,4.897738587082588,4.216665734490136
Chinatown,4.708276103984277,4.632207451989593,4.6161248794088765,4.631810602872025,4.809329255042394,4.495793829528866,4.555537189043907,4.534790050565145,4.487893159666632,4.792451810797568,4.2969054403907645,3.924102619797801
Clearing,5.354075505036814,6.539009744812637,5.377100084187742,5.162998488166068,4.930443752806324,5.486799370527588,5.807990835618919,4.547205970829685,5.496282463018257,5.66695552558529,5.498966981833767,5.5800634501767945
Coleman,5.80956001230969,4.482075703346553,4.880000370857919,5.478439408136663,5.950895303645468,4.866685710851876,4.664842738689566,5.644708312068149,4.953780539840116,4.164072134171082,4.698002844880644,4.734346887279734
