,BRANCH,LOCATION,LATITUDE,LONGITUDE,geometry,list of dict
22,Douglass,"(41.86441239309047, -87.71017465670012)",41.86441239309047,-87.71017465670012,"POLYGON ((-87.709175 41.867691, -87.710175 41.868332, -87.711175 41.868214, -87.714832 41.865412, -87.714953 41.864412, -87.71346 41.862412, -87.710175 41.860537, -87.706909 41.862412, -87.704774 41.864412, -87.705175 41.865245, -87.706175 41.865211, -87.706851 41.866412, -87.709175 41.867691))","[{17031843100: 0.007789623411223714, 17031841500: 0.44711889425183454, 17031291200: 0.5030908222588639, 17031843000: 0.06458174032348862}]"
23,Dunning,"(41.94319949471892, -87.81395164414246)",41.94319949471892,-87.81395164414246,"POLYGON ((-87.812952 41.946718, -87.813952 41.94717, -87.815952 41.946339, -87.81955 41.943199, -87.813952 41.939267, -87.81099 41.941199, -87.810214 41.942462, -87.808952 41.942695, -87.808437 41.943199, -87.810411 41.945199, -87.812952 41.946718))","[{17031170700: 0.03249665670313511, 17031170800: 0.47075828878415765, 17031170400: 0.0944264857790555}]"
24,Edgebrook,"(41.997213372156295, -87.76211751799003)",41.997213372156295,-87.76211751799003,"POLYGON ((-87.760118 42.000624, -87.761069 42.000165, -87.763118 42.000319, -87.765932 41.999028, -87.766761 41.998213, -87.767381 41.997213, -87.766045 41.996286, -87.764773 41.994558, -87.761795 41.994536, -87.761118 41.994104, -87.759118 41.995111, -87.758074 41.995213, -87.75793 41.996213, -87.756636 41.997213, -87.758586 41.999745, -87.760118 42.000624))","[{17031120200: 0.1581376389420088, 17031120100: 0.015714884919792376}]"
25,Edgewater,"(41.99095923823291, -87.660442745415)",41.99095923823291,-87.660442745415,"POLYGON ((-87.660443 41.995021, -87.66588 41.990959, -87.665382 41.989959, -87.660443 41.986901, -87.658443 41.987963, -87.656144 41.989959, -87.657052 41.990959, -87.656792 41.991959, -87.657427 41.992959, -87.660443 41.995021))","[{17031030603: 0.0040043209518199644, 17031030500: 0.17820871162909654, 17031030601: 0.44587599382565735, 17031030101: 0.5882219835369484, 17031030102: 0.3552471250507617, 17031030200: 0.1794760270424576, 17031030103: 0.014523593321302654}]"
26,Gage Park,"(41.79357525220078, -87.69413004003073)",41.79357525220078,-87.69413004003073,"POLYGON ((-87.69413 41.797732, -87.698434 41.794879, -87.699568 41.793575, -87.69413 41.789747, -87.691051 41.791496, -87.688612 41.793575, -87.689218 41.794575, -87.69413 41.797732))","[{17031630800: 0.17197705707076488, 17031835100: 0.1014529063491679, 17031630400: 0.1858942424159229, 17031630500: 0.15431002483704773}]"
27,Galewood-Mont Clare,"(41.9210332601157, -87.79791005523576)",41.9210332601157,-87.79791005523576,"POLYGON ((-87.79791 41.924164, -87.79891 41.924532, -87.801156 41.923033, -87.801594 41.922033, -87.800988 41.921033, -87.801914 41.920033, -87.79891 41.917584, -87.796036 41.919159, -87.79591 41.919617, -87.795756 41.919187, -87.79491 41.919121, -87.792869 41.921033, -87.79491 41.922909, -87.79591 41.922535, -87.79791 41.924164))","[{17031250500: 0.05977947222381393, 17031831600: 0.1396991146740666}]"
28,Garfield Ridge,"(41.792915800399726, -87.78013459023622)",41.792915800399726,-87.78013459023622,"POLYGON ((-87.778135 41.796127, -87.779135 41.796845, -87.780135 41.796386, -87.781135 41.796735, -87.784829 41.792916, -87.785221 41.791916, -87.782135 41.789776, -87.780135 41.790507, -87.779135 41.790083, -87.775834 41.791916, -87.774745 41.793916, -87.778135 41.796127))","[{17031561000: 0.03762489885775692, 17031560900: 0.045219707118101, 17031561100: 0.07217589019043368, 17031560800: 0.16508268917662366}]"
29,Greater Grand Crossing,"(41.76239541819689, -87.60051216643727)",41.76239541819689,-87.60051216643727,"POLYGON ((-87.600512 41.76668, -87.604278 41.765161, -87.604635 41.763518, -87.605636 41.762395, -87.60498 41.761395, -87.603512 41.760875, -87.601512 41.761596, -87.600907 41.761001, -87.599346 41.760562, -87.598512 41.759029, -87.596512 41.759324, -87.595197 41.762395, -87.595512 41.762988, -87.600512 41.76668))","[{17031690900: 0.0003871054820246009, 17031841800: 0.25345987096761574}]"
30,Hall,"(41.807377846345496, -87.62263720177272)",41.807377846345496,-87.62263720177272,"POLYGON ((-87.622637 41.811476, -87.623432 41.810172, -87.624637 41.810255, -87.626899 41.80864, -87.627266 41.806378, -87.622637 41.803198, -87.620637 41.804323, -87.617321 41.807378, -87.617723 41.808292, -87.622637 41.811476))","[{17031381800: 0.2629698732660429, 17031381700: 0.14863035375026018, 17031381400: 0.8240398075427435, 17031381500: 0.5531030787526836, 17031835800: 0.015301321284278864, 17031844600: 0.0031193255779168316}]"
31,Harold Washington Library Center,"(41.87686252958797, -87.62779697013237)",41.87686252958797,-87.62779697013237,"POLYGON ((-87.627797 41.881013, -87.629892 41.879863, -87.633166 41.876863, -87.629797 41.873885, -87.627797 41.872682, -87.626797 41.87295, -87.623146 41.875863, -87.622792 41.876863, -87.623797 41.878398, -87.627797 41.881013))","[{17031839000: 0.058562246961134996, 17031839100: 0.17649488788807025, 17031320600: 0.036468280723080414, 17031320400: 0.24685164734496393}]"
